Material,Category,Total Weight (mg),Found In Templates,Template Count
Additives (Trade Secret),Additive,2.8,T2,1
Additives (Undisclosed),Additive,0.416,T3,1
Barium Titanate (BaTiO3),Ceramic,5.33,T11,1
Calcium Zirconate (CaZrO3),Ceramic,0.89,T1,1
Glass Fiber,Composite,10.6754,"T2, T3, T8",3
Gallium Arsenide (GaAs),Compound Semiconductor,0.06889,T8,1
Gallium Nitride (GaN),Compound Semiconductor,3.5,T2,1
Gallium Phosphide (GaP),Compound Semiconductor,0.002656,T8,1
Indium Nitride (InN),Compound Semiconductor,1.8,T2,1
Carbon Black,Filler,0.195555,"T3, T5, T7, T9",4
Glass Oxide,Glass,0.00057,T9,1
Lead Silicate Glass,Glass,0.01229,T9,1
Lead-Containing Glass Frit,Glass,0.00273,T13,1
Lead-Free Glass (Bi-Si-B),Glass,0.02137,T13,1
Chlorine (Cl),Halogen,0.00012,T7,1
Aluminum Hydroxide (Al(OH)3),Hydroxide,0.1119,T5,1
Aluminum (Al),Metal,0.003071,T8,1
Base Metal (Cu),Metal,0.01,T1,1
Bismuth (Bi),Metal,0.01865,T5,1
Chromium (Cr),Metal,35.13332,"T3, T9, T12",3
Cobalt (Co),Metal,2e-05,T3,1
Copper (Cu),Metal,134.481898,"T2, T3, T5, T7, T8, T9, T10, T11, T12",9
Gold (Au),Metal,10.333322,"T2, T3, T5, T7, T8, T10",6
Indium (In),Metal,0.006474,T8,1
Iron (Fe),Metal,132.80848,"T3, T7",2
Lead (Pb),Metal,3.580008,"T5, T10",2
Magnesium (Mg),Metal,0.004217,T5,1
Nickel (Ni),Metal,28.351309,"T2, T3, T5, T6, T8, T9, T10, T11, T12, T13",10
Palladium (Pd),Metal,0.013006,"T3, T5, T7, T9, T13",5
Silver (Ag),Metal,0.249314,"T5, T7, T8, T9, T13",5
Tin (Sn),Metal,8.783598,"T3, T5, T6, T9, T10, T11, T12, T13",8
Zinc (Zn),Metal,69.36096,"T3, T7, T10",3
Aluminum Oxide (Al2O3),Metal Oxide,12.94453,"T2, T6, T9, T12, T13",5
Anatase (TiO2),Metal Oxide,1.4005,T6,1
Antimony Trioxide (Sb2O3),Metal Oxide,0.00365,T6,1
Barium Oxide (BaO),Metal Oxide,2.8236,T6,1
Calcium Oxide (CaO),Metal Oxide,0.01122,"T6, T9",2
Copper Oxide (CuO),Metal Oxide,0.35175,T6,1
Fused Silica (SiO2),Metal Oxide,12.828836,"T5, T7",2
Magnesium Oxide (MgO),Metal Oxide,0.11795,"T6, T9, T12, T13",4
Manganese Dioxide (MnO2),Metal Oxide,0.0025,T6,1
Ruthenium Oxide (RuO2),Metal Oxide,0.01455,"T9, T13",2
Silicon Dioxide (SiO2),Metal Oxide,1.09611,"T5, T9, T12, T13",4
Strontium Oxide (SrO),Metal Oxide,0.0008,T6,1
Sulphur Trioxide (SO3),Metal Oxide,0.00075,T6,1
Tricobalt Tetraoxide (Co3O4),Metal Oxide,0.0002,T6,1
Yttrium Oxide (Y2O3),Metal Oxide,0.0385,T6,1
Zinc Oxide (ZnO),Metal Oxide,0.00765,T6,1
Zirconium Dioxide (ZrO2),Metal Oxide,0.002,T6,1
Doped Silicon (Si),Metalloid,0.212404,T7,1
Silicon (Si),Metalloid,0.516276,T5,1
Phosphorus (P),Non-Metal,0.00822,T7,1
Miscellaneous,Other,0.16,T1,1
Electrode Paste (Ni),Paste,0.06,T1,1
Pigment (Unknown 1),Pigment,0.0008,T12,1
Pigment (Unknown 2),Pigment,0.0008,T12,1
Finish Plating (Sn),Plating,0.05,T1,1
Under Layer (Ni),Plating,0.03,T1,1
Epoxy Resin,Polymer,1.627009,"T7, T8, T9, T12, T13",5
Epoxy Resin (Bisphenol A DGEBA),Polymer,10.3,T2,1
Epoxy Resin (Bisphenol A Polymer),Polymer,9.7,T2,1
Epoxy Resin (Epidian),Polymer,0.4214,T8,1
Epoxy Resin (Phenol-Formaldehyde),Polymer,3.153,T2,1
Epoxy Resin (TGIC),Polymer,0.0051,T8,1
Epoxy Resin (o-Cresol Novolac),Polymer,2.047,T2,1
Liquid Crystal Polymer (LCP),Polymer,18.836,T3,1
Polymer (PIBMA),Polymer,0.007,T5,1
Polymer (Polysiloxanes),Polymer,0.0007,T5,1
Curing Agent (THPA),Polymer Additive,0.1806,T8,1
Barium Sulfate (BaSO4),Salt,0.0668,T12,1
Solvent (Aromatic Naphtha),Solvent,0.00255,T8,1
Solvent (Naphtha),Solvent,0.0152,T12,1
